,Total poids chargeKg],Total poids charge combustible [Kg],Total composant charge M +F + C + fines [Kg],Total humide [Kg],Densite de chargement [t/m3],Permeabilite avant allumage [Nm3/m2/mn],Humidite sur sec [%/sec],TOP SPEED [min],FE total [Kg],CaO [Kg],SiO2 [Kg],Al2O3 [Kg],MN [Kg],TiO2 [Kg],H20 HYD [Kg],Fe++ [Kg],Graphite [Kg],Charbon [Kg],Carbone [Kg],H2O SA [Kg],H2O DI [Kg],H2O ADD [Kg],Numerical Serie,"Mailles > 2,5mm  Poids [Kg]","Mailles < 1,25mm   Poids [Kg]","Mailles > 2,5mm  %","Mailles < 1,25mm    %",After,Fines de retour chargees %,Total poids charge %
1582,121.758762,6.757611,171.375459,240.0,2.150914,14.396192999999998,7.6,28.0,65.91411301,10.42374398,6.22355303,1.297372021,0.34228995,0.12639698800000002,0.441709031,0.944011949,0.054518049000000006,6.740696967000001,5.61499997,0.447904032,0.428958025,13.02453501,6035,21.618122,11.704816,50.439999,27.309999,1,0.25008881814285905,0.7104795675558191
2176,121.976506,7.5015550000000015,172.413793,250.0,2.157913,11.600238,5.63,35.0,68.23067804,5.480020955,7.059840026,1.20892803,0.42321103,0.070073051,0.280730001,0.825777027,0.172905958,7.620154029,6.021446004,0.0,0.0,9.860362047,6647,23.657587,10.824097,55.099998,25.209999,1,0.24902723994941636,0.7074637352244783
265,130.542497,7.440922,174.535319,200.0,2.190573,20.858886,7.1,26.4,73.84175496,9.641453963,5.81405599,1.130874937,0.213043057,0.091891996,1.194960002,3.884994997,0.097514014,7.467158971,6.375461021,0.228961981,0.199407945,12.44986005,4628,17.652569,10.053257,48.294532,27.504061,0,0.2094240822397672,0.7479431541303111
422,115.170738,5.6894339999999985,161.400274,200.0,2.043601,20.025803,8.2,25.5,62.05614494,9.517585027,5.676873991,1.311986956,0.154175963,0.100202968,2.169755056,2.788222027,0.07781705400000001,5.701644957,4.868065012,0.201724048,0.17568501600000005,13.27763403,4787,17.934941000000006,12.660674,44.240002,31.23,0,0.2511773988686042,0.7135721343323121
707,115.39377,5.6542949999999985,161.666672,200.0,2.036603,24.470438,7.5,26.5,60.55733505,9.098839027,5.302665005,1.370289975,0.31147895600000003,0.102330999,1.668349026,3.160043044,0.061210056,5.674014027,4.513564948,0.196437944,0.188129012,12.18139604,5089,19.594417,11.275726,48.240002,27.76,0,0.251249113360854,0.7137758733599711
2174,121.844642,7.493444999999999,172.227403,200.0,2.15558,8.447353,6.1,32.400002,67.85499603,5.449846977000001,7.02096804,1.20227203,0.420880968,0.069687011,0.27918397100000003,0.82122999,0.171954047,7.578197017000001,5.988291018,0.0,0.0,10.62469396,6645,23.632012,10.812396,55.099998,25.209999,1,0.24902724103666596,0.7074637361860471
340,117.125636,5.739156,164.093018,200.0,2.057599,21.558259,7.0,27.0,63.03994898,9.685521999,6.048043984,1.239593957,0.15884794300000002,0.091179006,2.371943952,3.509498037,0.063777038,5.759716992,4.800148013,0.205441942,0.178924012,11.54018695,4704,18.424893,12.793119,44.689999,31.030001,0,0.25124911164715125,0.7137758658323904
2377,118.28643999999998,7.806905,167.730173,250.0,2.146248,12.25461,9.7,31.1,63.51454303,11.96376506,7.716944982999999,1.032869045,0.379296964,0.069240948,0.405558035,0.743631045,0.167976973,7.806904965,6.169015954,0.0,0.0,16.26982699,6860,24.853022,9.972021,59.689999,23.950001,1,0.2482369585345864,0.7052186132306677
2219,117.115195,6.909796000000001,165.249541,200.0,2.085593,17.192148,7.7,27.4,63.58344395,10.25453999,6.026436951,1.050692023,0.165199,0.150571966,0.845616057,0.72043104,0.179256035,6.927424975,5.460197021,0.360838048,0.345574042,12.78328698,6693,21.321337,10.912138,51.720001,26.469999,1,0.249468469022858,0.7087172181615924
1968,118.379405,4.853556,164.902513,200.0,2.071596,21.475312,7.7,26.059999,62.75604695,11.89445099,8.482815977000001,2.517098995,0.237615982,0.151597017,1.654769009,4.176770987,0.606512013,4.845708957,3.973481059,0.26659705300000003,0.26659705300000003,12.69749296,6437,21.468153,11.004929,51.52,26.41,1,0.25269203750703306,0.7178750817460253
